stazione_id;data;inquinante;valore
"4";2014-02-01;CO_8h;2
"4";2014-02-01;NO2;67
"5";2014-02-01;NO2;78
"5";2014-02-01;O3;4
"6";2014-02-01;C6H6;3
"6";2014-02-01;CO_8h;1.6
"6";2014-02-01;NO2;76
"6";2014-02-01;PM10;34
"6";2014-02-01;PM25;28
"7";2014-02-01;NO2;73
"7";2014-02-01;O3;7
"7";2014-02-01;PM10;23
"8";2014-02-01;C6H6;
"8";2014-02-01;CO_8h;1.5
"8";2014-02-01;NO2;74
"1";2014-02-02;NO2;66
"2";2014-02-02;C6H6;3
"2";2014-02-02;NO2;56
"2";2014-02-02;O3;5
"2";2014-02-02;PM10;37
"2";2014-02-02;PM25;
"2";2014-02-02;SO2;5
"3";2014-02-02;CO_8h;1.3
"3";2014-02-02;NO2;80
"4";2014-02-02;C6H6;4
"4";2014-02-02;CO_8h;2.2
"4";2014-02-02;NO2;67
"5";2014-02-02;NO2;66
"5";2014-02-02;O3;2
"6";2014-02-02;C6H6;3
"6";2014-02-02;CO_8h;1.6
"6";2014-02-02;NO2;71
"6";2014-02-02;PM10;39
"6";2014-02-02;PM25;33
"7";2014-02-02;NO2;72
"7";2014-02-02;O3;6
"7";2014-02-02;PM10;26
"8";2014-02-02;C6H6;
"8";2014-02-02;CO_8h;1.7
"8";2014-02-02;NO2;70
"1";2014-02-03;NO2;61
"2";2014-02-03;C6H6;1.5
"2";2014-02-03;NO2;44
"2";2014-02-03;O3;7
"2";2014-02-03;PM10;26
"2";2014-02-03;PM25;22
"2";2014-02-03;SO2;5
"3";2014-02-03;CO_8h;1.2
"3";2014-02-03;NO2;72
"4";2014-02-03;C6H6;3
"4";2014-02-03;CO_8h;2.1
"4";2014-02-03;NO2;47
"5";2014-02-03;NO2;55
"5";2014-02-03;O3;10
"6";2014-02-03;C6H6;1.5
"6";2014-02-03;CO_8h;1.5
"6";2014-02-03;NO2;54
"6";2014-02-03;PM10;29
"6";2014-02-03;PM25;23
"7";2014-02-03;NO2;58
"7";2014-02-03;O3;10
"7";2014-02-03;PM10;18
"8";2014-02-03;C6H6;
"8";2014-02-03;CO_8h;1.7
"8";2014-02-03;NO2;59
"1";2014-02-04;NO2;78
"2";2014-02-04;C6H6;1.5
"2";2014-02-04;NO2;63
"2";2014-02-04;O3;22
"2";2014-02-04;PM10;23
"2";2014-02-04;PM25;20
"2";2014-02-04;SO2;2.5
"3";2014-02-04;CO_8h;1.5
"3";2014-02-04;NO2;150
"4";2014-02-04;C6H6;3
"4";2014-02-04;CO_8h;2
"4";2014-02-04;NO2;78
"5";2014-02-04;NO2;74
"5";2014-02-04;O3;21
"6";2014-02-04;C6H6;3
"6";2014-02-04;CO_8h;1.4
"6";2014-02-04;NO2;82
"6";2014-02-04;PM10;21
"6";2014-02-04;PM25;19
"7";2014-02-04;NO2;82
"7";2014-02-04;O3;19
"7";2014-02-04;PM10;17
"8";2014-02-04;C6H6;
"8";2014-02-04;CO_8h;1.5
"8";2014-02-04;NO2;81
"1";2014-02-05;NO2;61
"2";2014-02-05;C6H6;1.5
"2";2014-02-05;NO2;52
"2";2014-02-05;O3;29
"2";2014-02-05;PM10;24
"2";2014-02-05;PM25;20
"2";2014-02-05;SO2;2.5
"3";2014-02-05;CO_8h;1.1
"3";2014-02-05;NO2;112
"4";2014-02-05;C6H6;1.5
"4";2014-02-05;CO_8h;1.8
"4";2014-02-05;NO2;80
"5";2014-02-05;NO2;58
"5";2014-02-05;O3;28
"6";2014-02-05;C6H6;1.5
"6";2014-02-05;CO_8h;1.2
"6";2014-02-05;NO2;63
"6";2014-02-05;PM10;27
"6";2014-02-05;PM25;23
"7";2014-02-05;NO2;71
"7";2014-02-05;O3;33
"7";2014-02-05;PM10;18
"8";2014-02-05;C6H6;
"8";2014-02-05;CO_8h;1.2
"8";2014-02-05;NO2;66
"1";2014-02-06;NO2;90
"2";2014-02-06;C6H6;1.5
"2";2014-02-06;NO2;69
"2";2014-02-06;O3;26
"2";2014-02-06;PM10;29
"2";2014-02-06;PM25;22
"2";2014-02-06;SO2;2.5
"3";2014-02-06;CO_8h;1.2
"3";2014-02-06;NO2;120
"4";2014-02-06;C6H6;1.5
"4";2014-02-06;CO_8h;1.9
"4";2014-02-06;NO2;69
"5";2014-02-06;NO2;77
"5";2014-02-06;O3;26
"6";2014-02-06;C6H6;1.5
"6";2014-02-06;CO_8h;1.2
"6";2014-02-06;NO2;74
"6";2014-02-06;PM10;32
"6";2014-02-06;PM25;26
"7";2014-02-06;NO2;79
"7";2014-02-06;O3;33
